time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
Time(s), VOLT 1 [BUS1 16.500], ANGL 1 [BUS1 16.500], VOLT 2 [BUS2 230.00], ANGL 2 [BUS2 230.00], VOLT 3 [BUS3 230.00], ANGL 3 [BUS3 230.00], FREQ 1 [BUS1 16.500], FREQ 2 [BUS2 230.00], FREQ 3 [BUS3 230.00], GREFGEN1, VREFGEN1, PELECGEN1, QELECGEN1, PMECHGEN1
208.101, 0.975849, -3664.82, 0.992774, -3664.96, 0.99382, -3665.07, -0.00611175, -0.00611173, -0.00611173, 0.000130229, 1.01837, 0.0402259, -0.286695, 0.0302926
208.152, 0.975858, -3671.42, 0.992783, -3671.56, 0.99383, -3671.67, -0.00611175, -0.00611175, -0.00611175, 0.000130229, 1.01837, 0.0402258, -0.286701, 0.0302998
208.202, 0.975867, -3678.02, 0.992793, -3678.16, 0.993839, -3678.27, -0.00611174, -0.00611175, -0.00611175, 0.000130229, 1.01837, 0.0402258, -0.286706, 0.0303069
208.252, 0.975877, -3684.62, 0.992802, -3684.76, 0.993849, -3684.87, -0.00611172, -0.00611175, -0.00611175, 0.000130229, 1.01837, 0.0402259, -0.286712, 0.030314
208.303, 0.975885, -3691.22, 0.99281, -3691.36, 0.993857, -3691.47, -0.00611175, -0.00611175, -0.00611175, 0.000130229, 1.01837, 0.0402259, -0.286717, 0.0303209
208.353, 0.975891, -3697.83, 0.992817, -3697.96, 0.993863, -3698.07, -0.00611175, -0.00611167, -0.00611174, 0.000130229, 1.01837, 0.0402259, -0.286721, 0.0303277
208.404, 0.975897, -3704.43, 0.992823, -3704.56, 0.993869, -3704.67, -0.00611169, -0.00611175, -0.00611175, 0.000130229, 1.01837, 0.0402259, -0.286725, 0.0303344
208.454, 0.975903, -3711.03, 0.992829, -3711.16, 0.993876, -3711.27, -0.0061117, -0.00611175, -0.00611172, 0.000130229, 1.01837, 0.0402257, -0.286729, 0.0303409
208.504, 0.975909, -3717.63, 0.992836, -3717.76, 0.993882, -3717.87, -0.00611176, -0.00611175, -0.00611175, 0.000130229, 1.01837, 0.0402261, -0.286732, 0.0303474
208.555, 0.975916, -3724.23, 0.992842, -3724.36, 0.993888, -3724.47, -0.00611175, -0.00611175, -0.00611173, 0.000130229, 1.01837, 0.0402257, -0.286736, 0.0303538
208.605, 0.975922, -3730.83, 0.992849, -3730.97, 0.993895, -3731.07, -0.00611168, -0.00611175, -0.00611169, 0.000130229, 1.01837, 0.0402262, -0.286739, 0.03036
208.655, 0.975928, -3737.43, 0.992855, -3737.57, 0.993901, -3737.67, -0.00611175, -0.0061116, -0.00611175, 0.000130229, 1.01837, 0.040226, -0.286743, 0.0303662
208.706, 0.975933, -3744.03, 0.992859, -3744.17, 0.993906, -3744.27, -0.00611174, -0.00611175, -0.00611175, 0.000130229, 1.01837, 0.0402258, -0.286746, 0.0303722
208.756, 0.975936, -3750.63, 0.992862, -3750.77, 0.993909, -3750.87, -0.00611175, -0.00611166, -0.00611175, 0.000130229, 1.01837, 0.0402259, -0.286747, 0.0303781
208.806, 0.975939, -3757.23, 0.992866, -3757.37, 0.993912, -3757.48, -0.00611175, -0.00611175, -0.0061117, 0.000130229, 1.01837, 0.040226, -0.286749, 0.0303839
208.857, 0.975942, -3763.83, 0.992869, -3763.97, 0.993915, -3764.08, -0.00611174, -0.00611175, -0.00611175, 0.000130229, 1.01837, 0.0402261, -0.286751, 0.0303896
208.907, 0.975945, -3770.43, 0.992872, -3770.57, 0.993918, -3770.68, -0.00611175, -0.00611173, -0.00611175, 0.000130229, 1.01837, 0.0402259, -0.286753, 0.0303952
208.957, 0.975948, -3777.03, 0.992875, -3777.17, 0.993922, -3777.28, -0.00611175, -0.00611175, -0.00611175, 0.000130229, 1.01837, 0.040226, -0.286755, 0.0304007
209.001, 0.975951, -3782.71, 0.992878, -3782.85, 0.993924, -3782.95, -0.00611175, -0.00611176, -0.00611176, 0.000130229, 1.01837, 0.040226, -0.286757, 0.0304053
209.001, 0.975951, -3782.71, 0.992878, -3782.85, 0.993924, -3782.95, -0.00611175, -0.00611176, -0.00611176, 0.000130229, 1.01837, 0.0402266, -0.286757, 0.0304053
209.051, 0.975954, -3789.31, 0.992881, -3789.45, 0.993928, -3789.55, -0.00611175, -0.00611175, -0.00611175, 0.000130229, 1.01837, 0.0402259, -0.286758, 0.0304105
209.101, 0.975957, -3795.91, 0.992884, -3796.05, 0.993931, -3796.16, -0.00611175, -0.00611175, -0.00611175, 0.000130229, 1.01837, 0.040226, -0.28676, 0.0304157
209.152, 0.975958, -3802.51, 0.992885, -3802.65, 0.993932, -3802.76, -0.00611175, -0.00611175, -0.00611175, 0.000130229, 1.01837, 0.040226, -0.286761, 0.0304207
209.202, 0.975958, -3809.1, 0.992885, -3809.24, 0.993932, -3809.34, -0.00609159, -0.00609159, -0.00609158, 0.000130229, 1.01837, 0.040226, -0.286761, 0.0304257
209.253, 0.975958, -3815.68, 0.992885, -3815.82, 0.993932, -3815.92, -0.00609154, -0.00609153, -0.00609153, 0.000130229, 1.01837, 0.040226, -0.286761, 0.0304305
209.303, 0.975958, -3822.26, 0.992885, -3822.4, 0.993932, -3822.5, -0.00609154, -0.00609137, -0.00609152, 0.000130229, 1.01837, 0.0402255, -0.286761, 0.0304352
209.353, 0.975958, -3828.84, 0.992885, -3828.97, 0.993932, -3829.08, -0.00609137, -0.00609158, -0.00609136, 0.000130229, 1.01837, 0.0402261, -0.286761, 0.0304398
209.404, 0.975958, -3835.42, 0.992885, -3835.55, 0.993932, -3835.66, -0.00609152, -0.00609152, -0.00609152, 0.000130229, 1.01837, 0.040226, -0.286762, 0.0304443
