time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Time(s), VOLT 1 [BUS1 16.500], ANGL 1 [BUS1 16.500], VOLT 2 [BUS2 230.00], ANGL 2 [BUS2 230.00], FREQ 1 [BUS1 16.500], FREQ 2 [BUS2 230.00], FREQ 3 [BUS3 230.00], GREFGEN1, VREFGEN1, PELECGEN1, QELECGEN1, PMECHGEN1
142.353, 1.00845, -257.425, 1.00743, -257.369, -0.000221359, -0.000221364, -0.000221349, 0.000888145, 1.11281, 0.00237446, 0.111505, 0.00197747
142.404, 1.00846, -257.664, 1.00744, -257.608, -0.000221271, -0.000221275, -0.000221349, 0.000888145, 1.11281, 0.00237469, 0.111505, 0.00197757
142.454, 1.00846, -257.903, 1.00745, -257.847, -0.000221358, -0.000221378, -0.000221349, 0.000888145, 1.11281, 0.00237449, 0.111508, 0.00197768
142.504, 1.00847, -258.143, 1.00745, -258.086, -0.000222491, -0.000222495, -0.000222487, 0.000888145, 1.11281, 0.00237448, 0.111509, 0.00197779
142.555, 1.00847, -258.383, 1.00745, -258.327, -0.000222614, -0.000222628, -0.000222614, 0.000888145, 1.11281, 0.00237473, 0.111509, 0.00197792
142.605, 1.00847, -258.623, 1.00745, -258.567, -0.000222614, -0.000222628, -0.000222614, 0.000888145, 1.11281, 0.0023747, 0.111509, 0.00197806
142.655, 1.00847, -258.864, 1.00745, -258.807, -0.000222633, -0.000222639, -0.000222614, 0.000888145, 1.11281, 0.00237461, 0.111509, 0.0019782
142.706, 1.00847, -259.104, 1.00745, -259.048, -0.000222614, -0.000222617, -0.000222614, 0.000888145, 1.11281, 0.00237471, 0.111508, 0.00197835
142.756, 1.00847, -259.345, 1.00746, -259.288, -0.000222614, -0.00022254, -0.000222614, 0.000888145, 1.11281, 0.00237456, 0.11151, 0.00197851
142.806, 1.00848, -259.585, 1.00746, -259.529, -0.000222618, -0.000222639, -0.000222614, 0.000888145, 1.11281, 0.00237459, 0.111511, 0.00197868
142.857, 1.00848, -259.826, 1.00746, -259.769, -0.000222635, -0.000222649, -0.000222614, 0.000888145, 1.11281, 0.0023747, 0.111511, 0.00197886
142.907, 1.00848, -260.066, 1.00747, -260.01, -0.000222633, -0.000222642, -0.000222614, 0.000888145, 1.11281, 0.00237472, 0.111511, 0.00197904
142.957, 1.00849, -260.306, 1.00747, -260.25, -0.000222617, -0.000222626, -0.000222614, 0.000888145, 1.11281, 0.00237471, 0.111512, 0.00197923
143.001, 1.00849, -260.513, 1.00747, -260.457, -0.000222614, -0.000222653, -0.000222614, 0.000888145, 1.11281, 0.00237475, 0.111512, 0.0019794
143.001, 1.00849, -260.513, 1.00747, -260.457, -0.000222614, -0.000222653, -0.000222614, 0.000888145, 1.11281, 0.00237475, 0.111512, 0.0019794
143.051, 1.00849, -260.754, 1.00747, -260.697, -0.000222615, -0.00022263, -0.000222614, 0.000888145, 1.11281, 0.00237476, 0.111513, 0.0019796
143.101, 1.00849, -260.994, 1.00747, -260.938, -0.000222642, -0.000222646, -0.000222614, 0.000888145, 1.11281, 0.00237465, 0.111514, 0.00197981
143.152, 1.00849, -261.235, 1.00748, -261.179, -0.000223895, -0.000223911, -0.000223878, 0.000888145, 1.11281, 0.0023746, 0.111514, 0.00198003
143.202, 1.00849, -261.477, 1.00748, -261.421, -0.000223898, -0.000223919, -0.000223878, 0.000888145, 1.11281, 0.00237463, 0.111514, 0.00198026
143.253, 1.0085, -261.719, 1.00748, -261.663, -0.000223878, -0.000223897, -0.000223878, 0.000888145, 1.11281, 0.00237462, 0.111515, 0.00198049
143.303, 1.0085, -261.961, 1.00748, -261.904, -0.00022389, -0.000223889, -0.000223878, 0.000888145, 1.11281, 0.00237484, 0.111514, 0.00198073
143.353, 1.0085, -262.203, 1.00748, -262.146, -0.000223879, -0.000223898, -0.000223878, 0.000888145, 1.11281, 0.00237475, 0.111515, 0.00198097
143.404, 1.0085, -262.444, 1.00748, -262.388, -0.00022389, -0.000223829, -0.000223878, 0.000888145, 1.11281, 0.00237473, 0.111515, 0.00198122
143.454, 1.0085, -262.686, 1.00748, -262.63, -0.00022391, -0.000223879, -0.000223878, 0.000888145, 1.11281, 0.00237464, 0.111515, 0.00198148
143.504, 1.0085, -262.928, 1.00749, -262.872, -0.000223819, -0.0002238, -0.000223878, 0.000888145, 1.11281, 0.00237467, 0.111516, 0.00198174
143.555, 1.0085, -263.17, 1.00749, -263.113, -0.000223878, -0.000223879, -0.000223878, 0.000888145, 1.11281, 0.0023748, 0.111516, 0.00198201
143.605, 1.00851, -263.412, 1.00749, -263.355, -0.000223878, -0.00022388, -0.000223878, 0.000888145, 1.11281, 0.00237473, 0.111517, 0.00198228
143.655, 1.00851, -263.653, 1.00749, -263.597, -0.000223878, -0.000223883, -0.000223878, 0.000888145, 1.11281, 0.0023748, 0.111517, 0.00198255
143.706, 1.00851, -263.895, 1.00749, -263.839, -0.000223878, -0.000223885, -0.000223878, 0.000888145, 1.11281, 0.00237466, 0.111518, 0.00198283
143.756, 1.00851, -264.137, 1.00749, -264.081, -0.000223878, -0.000223879, -0.000223878, 0.000888145, 1.11281, 0.00237484, 0.111516, 0.00198312
143.806, 1.00851, -264.379, 1.00749, -264.322, -0.000223881, -0.000223883, -0.000223878, 0.000888145, 1.11281, 0.00237477, 0.111517, 0.00198341
143.857, 1.00851, -264.621, 1.00749, -264.565, -0.000225143, -0.000225143, -0.000225143, 0.000888145, 1.11281, 0.00237483, 0.111518, 0.00198371
143.907, 1.00851, -264.865, 1.0075, -264.808, -0.000225147, -0.000225147, -0.000225143, 0.000888145, 1.11281, 0.00237477, 0.111518, 0.00198401
143.957, 1.00852, -265.108, 1.0075, -265.051, -0.000225143, -0.000225143, -0.000225143, 0.000888145, 1.11281, 0.00237482, 0.111518, 0.00198432
144.001, 1.00852, -265.317, 1.0075, -265.26, -0.000225143, -0.000225144, -0.000225143, 0.000888145, 1.11281, 0.00237472, 0.111519, 0.00198459
144.001, 1.00852, -265.317, 1.0075, -265.26, -0.000225143, -0.000225144, -0.000225143, 0.000888145, 1.11281, 0.00237472, 0.111519, 0.00198459
144.051, 1.00852, -265.56, 1.0075, -265.504, -0.000225143, -0.000225143, -0.000225143, 0.000888145, 1.11281, 0.00237482, 0.111519, 0.0019849
144.101, 1.00852, -265.803, 1.0075, -265.747, -0.000225143, -0.000225151, -0.000225143, 0.000888145, 1.11281, 0.00237472, 0.11152, 0.00198521
144.152, 1.00852, -266.046, 1.0075, -265.99, -0.000225143, -0.000225067, -0.000225143, 0.000888145, 1.11281, 0.0023749, 0.111519, 0.00198553
144.202, 1.00852, -266.289, 1.0075, -266.233, -0.000225143, -0.000225143, -0.000225143, 0.000888145, 1.11281, 0.00237475, 0.111521, 0.00198585
144.253, 1.00852, -266.533, 1.0075, -266.476, -0.000225143, -0.000225147, -0.000225143, 0.000888145, 1.11281, 0.00237484, 0.111521, 0.00198617
144.303, 1.00852, -266.776, 1.00751, -266.719, -0.000225143, -0.000225143, -0.000225143, 0.000888145, 1.11281, 0.00237485, 0.111521, 0.0019865
144.353, 1.00853, -267.019, 1.00751, -266.963, -0.000225143, -0.000225143, -0.000225143, 0.000888145, 1.11281, 0.00237483, 0.111521, 0.00198683
144.404, 1.00853, -267.262, 1.00751, -267.206, -0.000225143, -0.000225143, -0.000225143, 0.000888145, 1.11281, 0.00237487, 0.111521, 0.00198716
144.454, 1.00853, -267.505, 1.00751, -267.449, -0.000225143, -0.000225143, -0.000225143, 0.000888145, 1.11281, 0.00237485, 0.111521, 0.0019875
144.504, 1.00853, -267.748, 1.00751, -267.692, -0.000225143, -0.000225143, -0.000225143, 0.000888145, 1.11281, 0.00237488, 0.111521, 0.00198784
144.555, 1.00853, -267.992, 1.00751, -267.935, -0.000225143, -0.000225143, -0.000225143, 0.000888145, 1.11281, 0.00237487, 0.111522, 0.00198819
144.605, 1.00853, -268.235, 1.00751, -268.178, -0.000225143, -0.000225143, -0.000225143, 0.000888145, 1.11281, 0.00237488, 0.111522, 0.00198853
144.655, 1.00853, -268.478, 1.00751, -268.421, -0.000225143, -0.000225143, -0.000225143, 0.000888145, 1.11281, 0.00237486, 0.111522, 0.00198888
144.706, 1.00853, -268.721, 1.00752, -268.665, -0.000226008, -0.000226008, -0.000226008, 0.000888145, 1.11281, 0.00237488, 0.111522, 0.00198923
144.756, 1.00853, -268.966, 1.00752, -268.909, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.0023749, 0.111523, 0.00198958
144.806, 1.00854, -269.21, 1.00752, -269.154, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237488, 0.111523, 0.00198993
144.857, 1.00854, -269.455, 1.00752, -269.398, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237491, 0.111522, 0.00199029
144.907, 1.00854, -269.699, 1.00752, -269.643, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.0023749, 0.111523, 0.00199065
144.958, 1.00854, -269.944, 1.00752, -269.887, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237491, 0.111523, 0.001991
145.001, 1.00854, -270.154, 1.00752, -270.098, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237492, 0.111525, 0.00199131
145.001, 1.00854, -270.154, 1.00752, -270.098, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237492, 0.111525, 0.00199131
145.051, 1.00854, -270.399, 1.00752, -270.342, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237492, 0.111525, 0.00199167
145.102, 1.00854, -270.643, 1.00752, -270.587, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237493, 0.111525, 0.00199203
145.152, 1.00854, -270.888, 1.00752, -270.831, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237492, 0.111525, 0.0019924
145.202, 1.00854, -271.132, 1.00753, -271.076, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237493, 0.111524, 0.00199276
145.253, 1.00854, -271.377, 1.00753, -271.32, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237495, 0.111525, 0.00199312
145.303, 1.00855, -271.621, 1.00753, -271.565, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237493, 0.111525, 0.00199348
145.353, 1.00855, -271.866, 1.00753, -271.809, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237497, 0.111526, 0.00199385
145.404, 1.00855, -272.11, 1.00753, -272.054, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237498, 0.111526, 0.00199421
145.454, 1.00855, -272.355, 1.00753, -272.298, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237498, 0.111526, 0.00199457
145.504, 1.00855, -272.599, 1.00753, -272.543, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237497, 0.111526, 0.00199494
145.555, 1.00855, -272.844, 1.00753, -272.787, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237498, 0.111526, 0.0019953
145.605, 1.00855, -273.088, 1.00753, -273.032, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237502, 0.111527, 0.00199567
145.655, 1.00855, -273.333, 1.00753, -273.276, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237496, 0.111527, 0.00199603
145.706, 1.00855, -273.577, 1.00754, -273.521, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.002375, 0.111527, 0.0019964
145.756, 1.00855, -273.822, 1.00754, -273.765, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237497, 0.111527, 0.00199676
145.806, 1.00856, -274.066, 1.00754, -274.01, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237503, 0.111527, 0.00199712
145.857, 1.00856, -274.311, 1.00754, -274.255, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237499, 0.111527, 0.00199748
145.907, 1.00856, -274.555, 1.00754, -274.499, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237497, 0.111527, 0.00199785
145.958, 1.00856, -274.8, 1.00754, -274.744, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237498, 0.111528, 0.00199821
146.001, 1.00856, -275.01, 1.00754, -274.954, -0.000226408, -0.000226408, -0.000226408, 0.000888145, 1.11281, 0.00237499, 0.111528, 0.00199851
